iso_code,family,name,latitude,longitude
axb,guai1249,Abipon,-29.0,-61.0
tpx,otom1299,Acatepec Me'phaa,17.1034,-99.0602
aca,araw1281,Achagua,4.38649,-72.2005
guq,tupi1275,Aché,-25.5865,-56.4697
acr,maya1287,Achi,15.073,-90.3513
acc,book1242,"Achi', Cubulco",,
acv,pala1350,Achumawi,41.0979,-121.191
acu,jiva1245,Achuar-Shiwiar,-2.82646,-77.2641
acs,nucl1710,Acroá,-12.20318,-45.08975
afs,indo1319,Afro-Seminole Creole,31.7843,-99.2934
avo,unat1236,Agavotaguerra,-13.29849,-53.43936
aga,unat1236,Aguano,-5.25,-75.8333
agu,maya1287,Aguacateco,15.3307,-91.3153
agr,jiva1245,Aguaruna,-5.30044,-77.9218
aht,atha1245,Ahtena,61.7068,-144.889
cpc,araw1281,Ajyíninka Apurucayali,-9.82364,-74.61947
ake,cari1283,Akawaio-Ingariko,6.16277,-60.862
aqz,tupi1275,Akuntsu,-12.8322,-60.9716
ako,cari1283,Akurio,3.19607,-55.6294
akz,musk1252,Alabama,30.76738,-94.62848
mim,otom1299,Alacatlatzala Mixtec,17.25,-98.58
apv,unat1236,Alapmunte,-12.329886,-59.996702
lsc,sign1238,Albarradas Sign Language,17.06144,-96.29642
xta,otom1299,Alcozauca Mixtec,17.3687,-98.3969
ale,eski1264,Aleut,52.1228,-174.29
alq,algi1248,Algonquin,47.3876,-77.5258
zaq,otom1299,Aloápam Zapotec,17.4137,-96.7438
amc,pano1259,Amahuaca,-10.2012,-72.3208
ama,tupi1275,Amanayé,-3.79772,-48.6613
amr,hara1260,Amarakaeri,-12.4931,-70.5533
zpo,otom1299,Amatlán Zapotec,16.2707,-96.4003
qva,quec1387,Ambo-Pasco Quechua,-10.5138,-76.1135
ase,sign1238,American Sign Language,33.8117,-81.6121
mbz,otom1299,Amoltepec Mixtec,16.6521,-97.4518
adw,tupi1275,Amundava,-9.04023,-62.3064
aan,tupi1275,Anambé,-2.71119,-49.303
anb,zapa1251,Andoa,-3.29664,-76.6056
aqt,leng1261,Angaité,-22.85,-58.45
tnd,chib1249,Angosturas Tunebo,6.54198,-71.9212
ans,choc1280,Anserma,6.24999,-76.05
aig,indo1319,Antigua and Barbuda Creole English,17.068263,-61.821863
xap,musk1252,Apalachee,30.118,-84.416
apy,cari1283,Apalaí,1.49792,-54.7457
mip,otom1299,Apasco-Apoala Mixtec,17.6143,-97.0657
api,tupi1275,Apiaká,-7.84711,-57.91
apn,nucl1710,Apinayé,-6.10774,-47.6315
apu,araw1281,Apurinã,-8.21692,-66.7714
arl,zapa1251,Arabela,-1.96126,-75.0612
xrt,uncl1493,Aranama,28.65425,-97.38526
aro,pano1259,Araona,-12.4242,-67.7293
arp,algi1248,Arapaho,43.3879,-108.81
arj,tuca1253,Arapaso,0.13727,-67.7282
awt,tupi1275,Araweté,-4.90246,-52.5001
arw,araw1281,Lokono,5.64295,-56.9243
qxu,quec1387,Arequipa-La Unión Quechua,-15.1806,-72.6333
aed,sign1238,Argentine Sign Language,-34.797,-59.1798
arh,chib1249,Arhuaco,10.7018,-73.6363
ari,cadd1255,Arikara,45.0,-100.0
ait,tupi1275,Arikem,-8.924,-63.742
ark,nucl1710,Arikapú,-12.4878,-62.7261
aoh,unat1236,Arma,2.03332,-76.0
arx,tupi1275,Aruá (Rondonia State),-12.1186,-62.4357
aru,araw1282,Arawá (Amazonas State),-5.5,-67.98
cni,araw1281,Asháninka,-11.9311,-73.9073
prq,araw1281,Ashéninka Perené,-10.9777,-74.9153
cjo,araw1281,Ashéninka Pajonal,-10.7583,-74.2014
asb,siou1252,Assiniboine,49.2923,-106.068
zoo,otom1299,Asunción Mixtepec Zapotec,16.8762,-96.8704
mib,otom1299,Atatláhuca Mixtec,17.07133,-97.67753
atj,algi1248,Atikamekw,47.9555,-73.7989
aox,araw1281,Atorada,2.481,-60.286
atc,pano1259,Atsahuaca,-14.1666,-69.5
atw,pala1350,Atsugewi,40.4271,-120.661
ocu,otom1299,Atzingo Matlatzinca,19.3871,-99.9239
aux,tupi1275,Aurê y Aurá,-4.137,-46.792
avs,zapa1251,Aushiri,-3.3196,-74.5411
avv,tupi1275,Avá-Canoeiro,-13.6081,-48.1336
kwi,barb1265,Awa-Cuaiquer,1.21652,-78.3401
awe,tupi1275,Awetí,-12.381944,-53.391944
quy,quec1387,Ayacucho Quechua,-13.84714,-74.32246
vmy,otom1299,Ayautla Mazatec,18.0993,-96.5952
zaf,otom1299,Ayoquesco Zapotec,16.6633,-96.8575
