variant,display_name,silhouette,ratio,accuracy_mean,accuracy_std
Spectral_baseline,Spectral direct,0.14285977939419223,2.43471385319647,0.611111111111111,0.15713484026367722
V10_erb,V10_erb,0.06727035441173246,1.833793193894709,0.5194444444444445,0.07222222222222223
V1_linear,V1_linear,0.10277659385518773,2.3287079618981985,0.4333333333333334,0.13333333333333336
V2_log,V2_log,0.03752347519338309,1.781664909837993,0.4083333333333333,0.08407081083567533
V3_sqrt,V3_sqrt,0.11990300768583322,2.0681347585139203,0.6583333333333333,0.07222222222222222
V4_narrow,V4_narrow,0.030655564984315774,1.742815006605642,0.5638888888888889,0.12777777777777777
V5_wide,V5_wide,0.06348790515112948,1.9448310604848535,0.4083333333333333,0.14792807728549273
V6_dense,V6_dense,0.09878558776782183,2.2237434302542036,0.5666666666666667,0.054433105395181716
V7_sparse,V7_sparse,0.11815662143534635,2.367770917930311,0.5444444444444445,0.07370277311900889
V8_mel,V8_mel,0.12950656254004556,2.094271446898018,0.6166666666666667,0.12717247935843998
V9_bark,V9_bark,0.1249187994257814,2.0916286270135056,0.5916666666666667,0.0840708108356753
HT_heattrace,HT_heattrace,0.15844407207450534,2.7066525072043293,0.5527777777777778,0.20645449084513384
