iso_code,family,family_name,nodes,edges,density
amc,pano1259,Panoan,670,2338,0.010432144211677041
ame,araw1281,Arawakan,696,3272,0.01352848755478376
cab,araw1281,Arawakan,475,1995,0.017721518987341773
cak,maya1287,Mayan,449,2593,0.025781498568246897
cbr,pano1259,Panoan,526,2733,0.019793590439978272
cbs,pano1259,Panoan,253,973,0.03052261747913922
chj,otom1299,Otomanguean,332,1768,0.032177046554799256
cni,araw1281,Arawakan,512,2003,0.015311582681017613
cot,araw1281,Arawakan,679,2463,0.010700275000977491
cpu,araw1281,Arawakan,859,3750,0.010176087009614367
csa,otom1299,Otomanguean,397,2068,0.026308424293310942
ese,pano1259,Panoan,520,1422,0.010538016896398399
guc,araw1281,Arawakan,482,1950,0.0168218010541662
hus,maya1287,Mayan,325,1710,0.03247863247863248
kek,maya1287,Mayan,401,1874,0.023366583541147134
mam,maya1287,Mayan,434,2108,0.022434839986803037
maz,otom1299,Otomanguean,294,1631,0.03786770680968633
mcd,pano1259,Panoan,455,1565,0.015152248632424844
mcf,pano1259,Panoan,589,2660,0.015360983102918587
mxv,otom1299,Otomanguean,389,1806,0.02393130681366443
mzi,otom1299,Otomanguean,570,2070,0.012764776616409212
not,araw1281,Arawakan,382,1594,0.02190433002157453
ote,otom1299,Otomanguean,305,1619,0.03492234685073339
prq,araw1281,Arawakan,253,966,0.030303030303030304
quc,maya1287,Mayan,485,2640,0.022492970946579195
qud,quec1387,Quechuan,456,1637,0.01577983420088683
qug,quec1387,Quechuan,695,2432,0.010084382062073684
quy,quec1387,Quechuan,636,2212,0.010954291090972118
quz,quec1387,Quechuan,662,2021,0.009237125841556554
qva,quec1387,Quechuan,754,2795,0.009845674772175666
qvc,quec1387,Quechuan,593,2063,0.011753110614830682
qvh,quec1387,Quechuan,842,3098,0.008749904677442587
qvm,quec1387,Quechuan,639,2257,0.011072355414268965
qvn,quec1387,Quechuan,674,2310,0.010185140277159272
qwh,quec1387,Quechuan,600,2173,0.012092376182526433
qxa,quec1387,Quechuan,731,2523,0.009455990105503813
qxn,quec1387,Quechuan,665,2510,0.011368783404293868
qxu,quec1387,Quechuan,538,1890,0.013083840418682893
shp,pano1259,Panoan,826,3810,0.011182038300682368
toj,maya1287,Mayan,513,2360,0.01797027290448343
tzh,maya1287,Mayan,507,2330,0.01816466699409843
yua,maya1287,Mayan,462,2436,0.02287517254979294
zam,otom1299,Otomanguean,225,1334,0.052936507936507934
ztu,otom1299,Otomanguean,320,1477,0.02893808777429467
